Timestamp,Region,Load
2024-01-01 00:00:00,South,339.93
2024-01-01 01:00:00,North,340.17
2024-01-01 02:00:00,South,367.95
2024-01-01 03:00:00,West,395.81
2024-01-01 04:00:00,East,368.61
2024-01-01 05:00:00,North,373.61
2024-01-01 06:00:00,South,411.58
2024-01-01 07:00:00,North,393.64
2024-01-01 08:00:00,West,363.91
2024-01-01 09:00:00,East,376.2
2024-01-01 10:00:00,North,345.73
2024-01-01 11:00:00,East,333.62
2024-01-01 12:00:00,South,334.83
2024-01-01 13:00:00,East,278.79
2024-01-01 14:00:00,East,270.5
2024-01-01 15:00:00,West,283.39
2024-01-01 16:00:00,South,266.44
2024-01-01 17:00:00,North,287.98
2024-01-01 18:00:00,West,261.84
2024-01-01 19:00:00,East,253.45
2024-01-01 20:00:00,West,316.01
2024-01-01 21:00:00,East,290.12
2024-01-01 22:00:00,North,306.35
2024-01-01 23:00:00,North,288.56
2024-01-02 00:00:00,West,319.09
2024-01-02 01:00:00,North,345.14
2024-01-02 02:00:00,East,331.96
2024-01-02 03:00:00,East,372.85
2024-01-02 04:00:00,North,361.27
2024-01-02 05:00:00,West,372.44
2024-01-02 06:00:00,South,367.95
2024-01-02 07:00:00,West,415.32
2024-01-02 08:00:00,South,373.01
2024-01-02 09:00:00,North,344.18
2024-01-02 10:00:00,South,371.43
2024-01-02 11:00:00,West,318.51
2024-01-02 12:00:00,East,334.16
2024-01-02 13:00:00,West,277.85
2024-01-02 14:00:00,West,278.42
2024-01-02 15:00:00,East,298.56
2024-01-02 16:00:00,North,301.45
2024-01-02 17:00:00,North,285.11
2024-01-02 18:00:00,South,277.67
2024-01-02 19:00:00,West,275.66
2024-01-02 20:00:00,South,257.11
2024-01-02 21:00:00,West,280.23
2024-01-02 22:00:00,East,295.77
2024-01-02 23:00:00,East,338.18
2024-01-03 00:00:00,South,336.83
2024-01-03 01:00:00,South,307.64
2024-01-03 02:00:00,North,361.44
2024-01-03 03:00:00,North,357.61
2024-01-03 04:00:00,North,359.72
2024-01-03 05:00:00,North,390.49
2024-01-03 06:00:00,South,400.58
2024-01-03 07:00:00,North,396.88
2024-01-03 08:00:00,South,356.48
2024-01-03 09:00:00,North,359.13
2024-01-03 10:00:00,West,361.59
2024-01-03 11:00:00,North,362.41
2024-01-03 12:00:00,West,320.38
2024-01-03 13:00:00,North,313.31
2024-01-03 14:00:00,North,282.83
2024-01-03 15:00:00,West,270.68
2024-01-03 16:00:00,East,302.91
2024-01-03 17:00:00,South,308.79
2024-01-03 18:00:00,North,278.52
2024-01-03 19:00:00,East,301.73
2024-01-03 20:00:00,West,293.89
2024-01-03 21:00:00,North,281.7
2024-01-03 22:00:00,North,312.19
2024-01-03 23:00:00,South,347.78
2024-01-04 00:00:00,East,329.21
2024-01-04 01:00:00,North,374.16
2024-01-04 02:00:00,West,302.53
2024-01-04 03:00:00,South,381.72
2024-01-04 04:00:00,West,374.97
2024-01-04 05:00:00,South,372.25
2024-01-04 06:00:00,East,381.76
2024-01-04 07:00:00,South,338.47
2024-01-04 08:00:00,North,368.84
2024-01-04 09:00:00,North,372.43
2024-01-04 10:00:00,West,384.49
2024-01-04 11:00:00,North,332.5
2024-01-04 12:00:00,West,313.76
2024-01-04 13:00:00,South,306.95
2024-01-04 14:00:00,North,323.24
2024-01-04 15:00:00,West,301.15
2024-01-04 16:00:00,South,276.03
2024-01-04 17:00:00,East,291.9
2024-01-04 18:00:00,South,281.87
2024-01-04 19:00:00,East,301.01
2024-01-04 20:00:00,East,272.59
2024-01-04 21:00:00,South,288.02
2024-01-04 22:00:00,South,297.09
2024-01-04 23:00:00,East,287.72
2024-01-05 00:00:00,North,335.81
2024-01-05 01:00:00,East,348.05
2024-01-05 02:00:00,North,354.99
2024-01-05 03:00:00,West,360.55
2024-01-05 04:00:00,East,344.88
2024-01-05 05:00:00,North,369.77
2024-01-05 06:00:00,West,373.03
2024-01-05 07:00:00,West,362.14
2024-01-05 08:00:00,South,369.96
2024-01-05 09:00:00,East,373.33
2024-01-05 10:00:00,West,392.61
2024-01-05 11:00:00,North,346.32
2024-01-05 12:00:00,South,335.04
2024-01-05 13:00:00,South,315.46
2024-01-05 14:00:00,East,266.51
2024-01-05 15:00:00,West,294.0
2024-01-05 16:00:00,East,287.79
2024-01-05 17:00:00,West,330.86
2024-01-05 18:00:00,South,276.04
2024-01-05 19:00:00,East,287.62
2024-01-05 20:00:00,North,285.89
2024-01-05 21:00:00,North,271.16
2024-01-05 22:00:00,South,327.75
2024-01-05 23:00:00,South,331.99
2024-01-06 00:00:00,East,345.66
2024-01-06 01:00:00,East,324.59
2024-01-06 02:00:00,East,382.9
2024-01-06 03:00:00,North,337.16
2024-01-06 04:00:00,North,384.88
2024-01-06 05:00:00,South,421.95
2024-01-06 06:00:00,East,360.03
2024-01-06 07:00:00,East,366.81
2024-01-06 08:00:00,South,375.13
2024-01-06 09:00:00,South,355.13
2024-01-06 10:00:00,West,323.83
2024-01-06 11:00:00,North,344.15
2024-01-06 12:00:00,West,308.59
2024-01-06 13:00:00,East,326.37
2024-01-06 14:00:00,East,286.45
2024-01-06 15:00:00,East,325.48
2024-01-06 16:00:00,West,270.87
2024-01-06 17:00:00,East,275.1
2024-01-06 18:00:00,East,296.11
2024-01-06 19:00:00,East,256.93
2024-01-06 20:00:00,South,291.09
2024-01-06 21:00:00,East,320.63
2024-01-06 22:00:00,South,272.69
2024-01-06 23:00:00,West,320.59
2024-01-07 00:00:00,East,334.98
2024-01-07 01:00:00,South,358.36
2024-01-07 02:00:00,North,330.04
2024-01-07 03:00:00,South,338.73
2024-01-07 04:00:00,East,383.52
2024-01-07 05:00:00,South,384.02
2024-01-07 06:00:00,South,384.79
2024-01-07 07:00:00,East,385.01
2024-01-07 08:00:00,South,359.48
2024-01-07 09:00:00,East,369.78
2024-01-07 10:00:00,West,360.64
2024-01-07 11:00:00,South,328.44
2024-01-07 12:00:00,West,367.1
2024-01-07 13:00:00,East,326.32
2024-01-07 14:00:00,South,280.96
2024-01-07 15:00:00,West,307.56
2024-01-07 16:00:00,East,266.99
2024-01-07 17:00:00,West,297.23
2024-01-07 18:00:00,South,302.95
2024-01-07 19:00:00,East,265.07
2024-01-07 20:00:00,East,305.75
2024-01-07 21:00:00,North,302.68
2024-01-07 22:00:00,North,321.22
2024-01-07 23:00:00,North,354.78
2024-01-08 00:00:00,West,324.81
2024-01-08 01:00:00,East,327.58
2024-01-08 02:00:00,East,336.93
2024-01-08 03:00:00,West,348.76
2024-01-08 04:00:00,East,371.48
2024-01-08 05:00:00,South,384.84
2024-01-08 06:00:00,South,385.25
2024-01-08 07:00:00,East,394.56
2024-01-08 08:00:00,West,373.28
2024-01-08 09:00:00,South,394.14
2024-01-08 10:00:00,West,349.42
2024-01-08 11:00:00,North,397.06
2024-01-08 12:00:00,West,342.23
2024-01-08 13:00:00,North,299.63
2024-01-08 14:00:00,North,283.3
2024-01-08 15:00:00,North,304.01
2024-01-08 16:00:00,South,281.95
2024-01-08 17:00:00,West,295.7
2024-01-08 18:00:00,West,289.18
2024-01-08 19:00:00,North,279.96
2024-01-08 20:00:00,West,269.48
2024-01-08 21:00:00,North,264.06
2024-01-08 22:00:00,West,295.79
2024-01-08 23:00:00,South,333.9
